NZ_LN831039.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
LC361338, Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Arthrobacter
NZ_PKRZ01000001.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus
NC_006085.1, Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Cutibacterium
NZ_JYBE02000001.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
HG530068, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
CP019892, Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium
NZ_KZ846072.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
NZ_CP023560, Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
QLNP01000098, Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Arthrobacter
CP030026, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
NZ_CP015121.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
NZ_AP014524.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_CP022580.1, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NC_012490.1, Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
NC_013961.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
NZ_CP053931.1, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
NZ_LT629770, Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium
JTHH01000008, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
NZ_CP009764.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia
NZ_CP041040.1, Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium
NZ_CM000747.1, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
NZ_CP009976.1, Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga
NZ_CM001889, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP019687.1, Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
NZ_CP031781.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_FEBQ01000001.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NC_005042.1, Bacteria; Cyanobacteria; Synechococcales; Prochloraceae; Prochlorococcus
NZ_UWXU01000001, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
NZ_CP027107.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
NZ_CP011007.1, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_CP019870.1, Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides
CP027029, Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
NZ_OCQN01000001, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
CP020809, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium
NZ_CP029197.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP016990.1, Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
NC_008261.1, Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_CP035306.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NZ_NQCD01000010.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
NZ_CP010341.1, Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Propionibacterium
NZ_CP009125.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Pectobacterium
AP014565, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
FN554889, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP035288.1, Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
NZ_CP024819.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex
NZ_NUFU01000011.1, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_CP008880.1, Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium
NZ_CP030105.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactiplantibacillus
NC_010554.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus
NZ_MUTR01000001.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
NZ_BAOP01000115.1, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NC_011071.1, Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group
MTKC01000003, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP048408.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
NZ_CP050013.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
NC_017168.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
NZ_MWMD01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
CP004353, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
NZ_CWGL01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
NC_021505.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
LT708304.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
NZ_CP027793.1, Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
NZ_GG657757, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NC_021883.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Mannheimia
NZ_CP021654.1, Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
NZ_CP010450.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NC_022112.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus
NZ_CP042449.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_MIGA01000001, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_AP019750.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
CP032788, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
NZ_CP046062.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc
NZ_CP025545.1, Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus
NZ_CP025774.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter
NC_004557.1, Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_CP034148.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group
CP014475, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
NZ_CP030777.1, Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium
NC_012924.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NZ_CP045235.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
NZ_RPMX01000001.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium
NZ_CP032788.1, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
CP023315, Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter
NZ_QLMF01000001.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium
NZ_CP015137.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Dickeya
NZ_CP008781.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
NZ_LK391965, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_CP039729.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
NZ_LR134326.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella
NC_007530.2, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
NZ_BMUQ00000000.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP009467.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_LS483405.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Levilactobacillus
AL645882, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group
NVUC01000001, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter
NC_013716.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter
NZ_QMJJ01000010.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc
NC_012917.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Pectobacterium
NZ_LPTR01000009.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
NZ_CP031055.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NC_004556.1, Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella
NZ_CM009828.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae; Edwardsiella
NZ_JH603143.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
NZ_SGOE01000001.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium; Agrobacterium tumefaciens complex
NZ_DF968533, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP028813.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae; Edwardsiella
NC_003155.5, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_AEUD01000047.1, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NZ_QKZO01000001.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter
NZ_MDBB01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_AP012544.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus
NZ_CP023558.1, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
NC_006461.1, Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus
NC_017379.1, Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter
NZ_AP018203.1, Bacteria; Cyanobacteria; Synechococcales; Leptolyngbyaceae; Leptolyngbya
NC_009952.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Dinoroseobacter
NZ_QTTZ01000001, Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium
LR134359, Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter
NZ_BMTY00000000.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_LR134475.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
NZ_JNIU01000001, Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter
NZ_CP004353.1, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
NZ_CP058243.1, Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas
NZ_CP023567.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
NZ_CP027407.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter
NZ_FRBZ01000017.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella
NZ_LOQW01000006.1, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
NC_013198.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus
NZ_CP029614.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
NZ_MSJW02000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
RKIY01000003, Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
NC_014965.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_CP017151.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus
CP018363, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC)
NZ_LXWL01000001.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus
NZ_GG657757.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
RXKE01000007, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NZ_CP014324.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Oenococcus
NC_017287.1, Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia
CP014518, Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Sinomonas
NZ_CCKZ01000001, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
NZ_CP013237.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NZ_PHHD01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
NZ_CP028926.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella
NZ_JH719383.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium
NZ_CP023643.1, Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Brochothrix
CM003594, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter
NZ_CP009016.1, Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas
NZ_CP013197.1, Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma
NZ_KB849702.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
NC_005363.1, Bacteria; Proteobacteria; Oligoflexia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio
NC_007651.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
NC_008530.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
NZ_CP015750.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Pectobacterium
NZ_LR134373.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
NZ_CP008813.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NC_003317.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella
NZ_CP033732.1, Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
NZ_MSEI01000003, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Idiomarina
NZ_JAANOB010000217.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group
NC_013929.1, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NC_013282.2, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
NZ_FNLM01000034, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NZ_CP012023.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Celeribacter
NZ_CP035765.1, Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
NZ_CP039700.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
CP000388, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
NZ_LR131273.1, Bacteria; Actinobacteria; Corynebacteriales; Tsukamurellaceae; Tsukamurella
NZ_AMGI01000001.1, Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma
NZ_CP009977.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_CP007810.1, Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas
CP000031, Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ruegeria
NZ_CP012958.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter
NZ_RQHA01000004.1, Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira
NC_008390.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
